Source,Target,R,N,Weight
уважний,на уроці,4,213,53.25
відповідати,на уроці,2,200,100.0
увага,на уроці,1,208,208.0
уважність,на уроці,1,203,203.0
спроможний,на усе,1,204,204.0
сердитися,на усіх,1,209,209.0
жартувати,на успіх,1,208,208.0
таланити,на успіх,1,213,213.0
подіяти,на учня,1,199,199.0
господарювати,на фермі,2,200,100.0
побігати,на фізкультурі,2,198,99.0
працівник,на фірмі,1,213,213.0
ходити,на футбол,1,212,212.0
бігати,на футболі,1,203,203.0
вболівати,на футболі,1,204,204.0
дармовий,на халяву,1,202,202.0
недарма,на халяву,1,205,205.0
господарювати,на хаті,1,200,200.0
оселитися,на хаті,1,205,205.0
забуватися,на хвилинку,1,217,217.0
забутися,на хвилинку,1,199,199.0
замовчати,на хвилину,1,200,200.0
збентежитися,на хвилину,1,203,203.0
заробити,на хліб,1,202,202.0
заробляти,на хліб,1,218,218.0
заробити,на хліб насущний,1,202,202.0
синіти,на холоді,1,210,210.0
бігом,на хор,1,205,205.0
жахнутися,на цвинтарі,1,199,199.0
зважити,на це,3,202,67.33333333333333
глядіти,на цирк,1,203,203.0
насмілитися,на цю гру,1,204,204.0
потерпілий,на ЧАЕС,1,218,218.0
побіліти,на червоно,1,201,201.0
перемогти,на чесному поєдинку,1,419,419.0
називатися,на чиєсь ім’я,1,211,211.0
розсердитися,на читанні,1,202,202.0
зважити,на чиюсь думку,1,202,202.0
подіяти,на чиюсь думку,1,199,199.0
очолювати,на чолі,1,214,214.0
посвітліти,на чолі,1,207,207.0
одружитися,на чоловікові,1,202,202.0
побіліти,на чорному,1,201,201.0
кінь,на чотирьох ногах,1,204,204.0
спромогтися,на чудо,1,203,203.0
гостювати,на чужині,1,201,201.0
оселятися,на чужині,1,209,209.0
селитися,на чужині,1,209,209.0
ярмо,на шиї,8,221,27.625
ярмо,на шию,2,221,110.5
гнів,на школу,1,201,201.0
стати,на шлях,1,202,202.0
грішити,на що,1,200,200.0
збідніти,на що,1,198,198.0
зважити,на що,1,202,202.0
озлитися,на що,1,199,199.0
забракнути,на що?,1,202,202.0
ладний,на що завгодно,1,213,213.0
спромагатися,на щось,7,215,30.714285714285715
спромогтися,на щось,5,203,40.6
зважити,на щось,4,202,50.5
подіяти,на щось,4,199,49.75
спроможний,на щось,3,204,68.0
ладен,на щось,2,217,108.5
подивитися,на щось,2,199,99.5
вважати,на щось,1,201,201.0
відповісти,на щось,1,205,205.0
глянути,на щось,1,205,205.0
дозвіл,на щось,1,202,202.0
збідніти,на щось,1,198,198.0
злитися,на щось,1,213,213.0
озлитися,на щось,1,199,199.0
розгніватися,на щось,1,197,197.0
розсердитися,на щось,1,202,202.0
злитися,на щось або когось,1,213,213.0
спрямувати,на щось дію,1,202,202.0
здивуватися,на щось ненормальне,1,200,200.0
глянути,на щось нове,1,205,205.0
гукати,на щось схоже,1,202,202.0
товариш,на якого можна покластись,1,200,200.0
жартувати,на яку тему,1,208,208.0
постаріти,набагато,1,201,201.0
звільняти,набирати,1,212,212.0
багатіти,набиратися,1,205,205.0
рука,набита,1,210,210.0
витримувати,набіги,1,210,210.0
вітер,наближається,1,205,205.0
віддалятися,наближатись,1,202,202.0
віддалятися,наближатися,1,202,202.0
близькість,наближення,1,203,203.0
наблизити,наближення,1,199,199.0
віддалитися,наблизитись,2,206,103.0
здивовано,наблизитись,1,203,203.0
дозволити,наблизитися,1,202,202.0
наблизити,наблизитися,1,199,199.0
насмілитися,наблизитися,1,204,204.0
вигукнути,наболіле,1,203,203.0
питання,наболіло,1,215,215.0
брати,наборг,1,202,202.0
мовчати,набрати в рот води,1,212,212.0
спромогтися,набрати сил,1,203,203.0
братися,набратися,1,213,213.0
називатися,набратися,1,211,211.0
насмілитися,набратися хоробрості,1,204,204.0
збрехати,набрехати,1,205,205.0
гість,набридає,1,201,201.0
гостювати,набридати,2,201,100.5
турбувати,набридати,2,213,106.5
злість,набридла,1,204,204.0
ярмо,набридле,1,221,221.0
звичка,набридлива,1,203,203.0
незручність,набридлива,1,201,201.0
буття,набридливе,1,203,203.0
ярмо,набридливе,1,221,221.0
газетяр,набридливий,1,211,211.0
гість,набридливий,1,201,201.0
звичний,набридливий,1,212,212.0
вибори,набридло,1,212,212.0
віддалятися,набридло,1,202,202.0
газетяр,набридло,1,211,211.0
їжа,набридло,1,204,204.0
їзда,набридло,1,202,202.0
переставати,набридло,1,210,210.0
турбувати,набридло,1,213,213.0
терпець,набридло!,1,209,209.0
боятися,набріхування,1,213,213.0
здобувати,набувати,1,214,214.0
звичка,набута,1,203,203.0
багатство,набуте,1,203,203.0
втратити,набути,2,205,102.5
звичка,набуток,1,203,203.0
здобуток,набуток,1,203,203.0
втрата,набуття,1,203,203.0
посиніти,набухатися,1,205,205.0
сміливість,наважений,1,208,208.0
сміти,наважитись,2,212,106.0
спромогтися,наважитись,2,203,101.5
насмілитися,наважитись,1,204,204.0
спромагатися,наважитись,1,215,215.0
сміти,наважитися,2,212,106.0
насмілитися,наважитися,1,204,204.0
охоче,наважитися,1,202,202.0
вага,наважки,1,203,203.0
сміти,наважуватися,1,212,212.0
витримувати,навантаження,26,210,8.076923076923077
витримати,навантаження,6,203,33.833333333333336
відчуватися,навантаження,1,213,213.0
сьогодні,навантаження,1,202,202.0
ярмо,навантаженість,1,221,221.0
витримати,навантажень,1,203,203.0
бігти,наввипередки,5,212,42.4
бігати,наввипередки,3,203,67.66666666666667
біг,наввипередки,1,202,202.0
побігати,наввипередки,1,198,198.0
побігти,наввипередки,1,198,198.0
зеленіти,навесні,2,215,107.5
позеленіти,навесні,1,203,203.0
бігти,навздогін,2,212,106.0
бігом,навздогін,1,205,205.0
громадський,навздогін,1,200,200.0
побігати,навздогін,1,198,198.0
побігти,навздогін,1,198,198.0
біг,навипередки,1,202,202.0
хмара,нависла,1,215,215.0
звичка,навичка,3,203,67.66666666666667
звикати,навичка,1,213,213.0
володіти,навичками,2,201,100.5
брак,навичок,1,207,207.0
відмовлятися,навідріз,1,200,200.0
щастити,навідуватися,1,211,211.0
лякати,навіженого,1,212,212.0
замовчати,навіки,11,200,18.181818181818183
покохати,навіки,2,210,105.0
вірний,навіки,1,214,214.0
вірність,навіки,1,211,211.0
вороже,навіки,1,204,204.0
дивно,навіки,1,202,202.0
забутися,навіки,1,199,199.0
забуття,навіки,1,201,201.0
звільнитися,навіки,1,204,204.0
кохання,навіки,1,202,202.0
одружувати,навіки,1,211,211.0
оселитися,навіки,1,205,205.0
пам’ятка,навіки,1,212,212.0
щасливий,навіки,1,212,212.0
забуватися,навічно,1,217,217.0
минути,навічно,1,201,201.0
зобов’язувати,навішувати,1,213,213.0
дарма,навіщо,3,202,67.33333333333333
братися,навіщо,1,213,213.0
гнівно,навіщо,1,199,199.0
забутися,навіщо,1,199,199.0
запитати,навіщо,1,199,199.0
збайдужіти,навіщо,1,203,203.0
здивуватися,навіщо,1,200,200.0
зобов’язати,навіщо,1,203,203.0
можна,навіщо,1,199,199.0
молодіти,навіщо,1,211,211.0
незручність,навіщо,1,201,201.0
одруження,навіщо,1,218,218.0
одружити,навіщо,1,204,204.0
побоятися,навіщо,1,198,198.0
подобріти,навіщо,1,201,201.0
помогти,навіщо,1,202,202.0
радити,навіщо,1,216,216.0
сердитися,навіщо,1,209,209.0
соромитися,навіщо,1,214,214.0
спитати,навіщо,1,203,203.0
схвилювання,навіщо,1,192,192.0
терпіти,навіщо,1,214,214.0
хвилювати,навіщо,1,213,213.0
як,навіщо,1,218,218.0
дарма,навіщо?,1,202,202.0
злитися,навіщо?,1,213,213.0
соромно,навіщо?,1,206,206.0
керівництво,навіщо!?,1,216,216.0
пізнавати,навкол. світ,1,213,213.0
бачити,навколишнє,1,203,203.0
увага,навколишнє,1,208,208.0
цікавити,навколишнє,1,217,217.0
ставатися,навколишнє середовище,1,202,202.0
ворожий,навколишні,1,217,217.0
світ,навколишній,2,210,105.0
збентежити,навколишній світ,1,201,201.0
пізнавати,навколишній світ,1,213,213.0
пізнати,навколишній світ,1,419,419.0
допомагати,навколишнім,1,198,198.0
позаздрити,навколишність,1,202,202.0
звеселити,навколишніх,2,199,99.5
вражати,навколишніх,1,220,220.0
схвилювати,навколишніх,1,202,202.0
ставати,навколішки,1,212,212.0
побігати,навколо,7,198,28.285714285714285
діятися,навколо,5,211,42.2
чорно,навколо,3,202,67.33333333333333
світ,навколо,2,210,105.0
бігати,навколо,1,203,203.0
боязко,навколо,1,203,203.0
народ,навколо,1,217,217.0
цікаво,навколо,1,202,202.0
час,навколо,1,212,212.0
побігати,навколо будинку,1,198,198.0
світ,навколо нас,1,210,210.0
побувати,навколо світу,1,203,203.0
світ,навколо тебе,1,210,210.0
бігати,навкруг,1,203,203.0
чорно,навкруг,1,202,202.0
глянути,навкруги,2,205,102.5
побігати,навкруги,2,198,99.0
байдужість,навкруги,1,202,202.0
бігати,навкруги,1,203,203.0
лунати,навкруги,1,212,212.0
чорно,навкруги,1,202,202.0
побігти,навмання,1,198,198.0
збрехати,навмисне,2,205,102.5
відмовити,навмисно,1,202,202.0
згрішити,навмисно,1,204,204.0
свідомо,навмисно,1,204,204.0
лад,наводити,1,203,203.0
робити,навпаки,1,212,212.0
біг,навперейми,1,202,202.0
бігти,навперейми,1,212,212.0
ходити,навпочіпки,1,212,212.0
бігти,навпростець,2,212,106.0
йти,навпростець,2,216,108.0
прямо,навпростець,1,198,198.0
прямувати,навпростець,1,217,217.0
ходити,навпростець,1,212,212.0
сусідній,навпроти,1,212,212.0
побажати,наврочити,1,198,198.0
дивно,навряд,1,202,202.0
уважність,навряд,1,203,203.0
таланити,навряд чи,1,213,213.0
зручно,навскіс,1,201,201.0
слухатися,навушники,1,204,204.0
чутися,навушники,1,212,212.0
витримати,навч. рік,1,203,203.0
наказ,навчальний,1,213,213.0
промова,навчальний заклад,1,210,210.0
майбутній,навчальний рік,1,211,211.0
здивований,навчанню,1,214,214.0
денний,навчання,16,200,12.5
важливість,навчання,7,203,29.0
вимога,навчання,5,210,42.0
знання,навчання,5,217,43.4
зобов’язання,навчання,5,203,40.6
обов’язок,навчання,5,214,42.8
зобов’язаний,навчання,4,213,53.25
вимогливість,навчання,3,202,67.33333333333333
день,навчання,3,200,66.66666666666667
збайдужіти,навчання,3,203,67.66666666666667
звично,навчання,3,203,67.66666666666667
молодість,навчання,3,218,72.66666666666667
самостійність,навчання,3,204,68.0
уважність,навчання,3,203,67.66666666666667
байдуже,навчання,2,207,103.5
важко,навчання,2,203,101.5
важливо,навчання,2,202,101.0
вдень,навчання,2,203,101.5
робота,навчання,2,200,100.0
розумно,навчання,2,201,100.5
спроможний,навчання,2,204,102.0
байдужість,навчання,1,202,202.0
бігом,навчання,1,205,205.0
буття,навчання,1,203,203.0
важкий,навчання,1,213,213.0
важливий,навчання,1,203,203.0
вартість,навчання,1,205,205.0
варто,навчання,1,203,203.0
ввечері,навчання,1,206,206.0
взятися,навчання,1,200,200.0
витримка,навчання,1,203,203.0
віддалятися,навчання,1,202,202.0
відповідати,навчання,1,200,200.0
допомогти,навчання,1,207,207.0
залежний,навчання,1,215,215.0
запам’ятати,навчання,1,200,200.0
збагатіти,навчання,1,203,203.0
звикнути,навчання,1,202,202.0
звільнятися,навчання,1,214,214.0
злий,навчання,1,214,214.0
їздити,навчання,1,217,217.0
керівництво,навчання,1,216,216.0
мислити,навчання,1,213,213.0
міркування,навчання,1,201,201.0
мова,навчання,1,221,221.0
можливість,навчання,1,215,215.0
мрія,навчання,1,216,216.0
мусити,навчання,1,213,213.0
недарма,навчання,1,205,205.0
обов’язковий,навчання,1,209,209.0
обов’язково,навчання,1,202,202.0
пізнання,навчання,1,214,214.0
пізнати,навчання,1,419,419.0
побути,навчання,1,198,198.0
поклик,навчання,1,198,198.0
покликання,навчання,1,199,199.0
посада,навчання,1,213,213.0
поцікавитися,навчання,1,204,204.0
ранок,навчання,1,212,212.0
розум,навчання,1,211,211.0
розуміти,навчання,1,213,213.0
світло,навчання,1,200,200.0
справа,навчання,1,202,202.0
справджувати,навчання,1,202,202.0
таланити,навчання,1,213,213.0
турбота,навчання,1,213,213.0
турбуватися,навчання,1,212,212.0
увага,навчання,1,208,208.0
уважний,навчання,1,213,213.0
хвилюватися,навчання,1,203,203.0
цікавість,навчання,1,209,209.0
щастити,навчання,1,211,211.0
місяць,навчання вже минув,1,218,218.0
турбуватися,навчанням,2,212,106.0
вражений,навчанням,1,207,207.0
журитися,навчанням,1,216,216.0
цікавитися,навчанням,1,214,214.0
їхати,навчати,1,212,212.0
пізнавати,навчатись,1,213,213.0
важко,навчатися,1,203,203.0
здобувати,навчатися,1,214,214.0
зобов’язання,навчатися,1,203,203.0
свідомий,навчений,1,210,210.0
важливо,навчитись,1,202,202.0
можливість,навчитись,1,215,215.0
справді,навчитися,2,203,101.5
побоювання,навшпиньках,1,212,212.0
бігати,навшпиньки,1,203,203.0
зобов’язати,нав’язати,1,203,203.0
одружити,нав’язати,1,204,204.0
радити,нав’язати,1,216,216.0
подіяти,нав’язати щось,1,199,199.0
потурбувати,нав’язатись,1,200,200.0
гостювати,нав’язливий,1,201,201.0
чинний,нав’язливий,1,210,210.0
порада,нав’язливість,1,211,211.0
керівництво,нав’язування,1,216,216.0
зобов’язувати,нав’язувати,3,213,71.0
радити,нав’язувати свою думку,1,216,216.0
обов’язково,нагадати,1,202,202.0
пожалкувати,нагадати,1,200,200.0
зауваження,нагадування,1,202,202.0
спогад,нагадування,1,207,207.0
забувати,нагадувати,1,220,220.0
забуватися,нагадувати,1,217,217.0
потреба,нагальна,3,206,68.66666666666667
справа,нагальна,2,202,101.0
потреба,нагальність,1,206,206.0
чорнити,наганяти,1,202,202.0
брехня,нагла,1,202,202.0
вимогливий,наглий,1,210,210.0
сором’язливий,наглий,1,214,214.0
сміти,наглість,5,212,42.4
свиня,наглість,2,213,106.5
вимога,наглість,1,210,210.0
забувати,наглість,1,220,220.0
неприємний,наглість,1,211,211.0
сором,наглість,1,208,208.0
терпіти,наглість,1,214,214.0
чорнити,наглість,1,202,202.0
сміти,нагліти,2,212,106.0
брехати,нагло,1,204,204.0
погостювати,нагло,1,200,200.0
вартувати,нагляд,1,214,214.0
наказувати,наглядач,1,211,211.0
розсердитися,нагніватись,1,202,202.0
озлитися,нагніватися,1,199,199.0
переставати,нагнітати,1,210,210.0
сердито,наговорити,1,204,204.0
чорнити,наговорювати,5,202,40.4
можливість,нагода,6,215,35.833333333333336
бентежитися,нагода,1,199,199.0
жалкувати,нагода,1,217,217.0
зручність,нагода,1,205,205.0
мати1,нагоду,1,229,229.0
прямий,наголос,1,217,217.0
зауважити,наголосити,1,203,203.0
вартувати,нагорода,2,214,107.0
здобуток,нагорода,2,203,101.5
зірка,нагорода,1,217,217.0
перемога,нагорода,1,216,216.0
переможець,нагорода,1,200,200.0
працювати,нагорода,1,214,214.0
праця,нагорода,1,211,211.0
здобути,нагороду,1,204,204.0
обіцяти,нагороду,1,212,212.0
соромитися,наготи,1,214,214.0
здивування,награне,1,202,202.0
побувати,награти,1,203,203.0
здобуток,нагромадження,1,203,203.0
подіяти,нагружати,1,199,199.0
зобов’язати,нагрузити,1,203,203.0
зобов’язувати,нагрузити,1,213,213.0
витримувати,нагрузка,1,210,210.0
витримати,нагрузку,2,203,101.5
витримувати,нагрузку,2,210,105.0
мислити,над,1,213,213.0
поміркувати,над,1,200,200.0
перемога,над ворогом,5,216,43.2
міркувати,над вправою,2,215,107.5
помислити,над вправою,1,200,200.0
поміркувати,над вправою,1,200,200.0
пожартувати,над всім,1,200,200.0
пожартувати,над всіма,2,200,100.0
поміркувати,над вчиненим,1,200,200.0
помислити,над вчинками,1,200,200.0
хмаритися,над головою,2,212,106.0
головувати,над групою,1,200,200.0
поміркувати,над діями,1,200,200.0
зажуритися,над долею,1,201,201.0
пожартувати,над другом,1,200,200.0
пожартувати,над друзями,1,200,200.0
поміркувати,над життям,4,200,50.0
помислити,над життям,3,200,66.66666666666667
поміркувати,над завданням,2,200,100.0
міркувати,над завданням,1,215,215.0
подумати,над завданням,1,202,202.0
помислити,над завданням,1,200,200.0
поміркувати,над задачею,2,200,100.0
перемога,над злом,1,216,216.0
лад,над іншим,1,203,203.0
владний,над іншими,1,213,213.0
жартувати,над ким,1,208,208.0
пожартувати,над кимось,8,200,25.0
влада,над кимось,1,204,204.0
владно,над кимось,1,204,204.0
головувати,над кимось,1,200,200.0
господар,над кимось,1,200,200.0
згрішити,над кимось,1,204,204.0
перемога,над кимось,1,216,216.0
перемогти,над кимось,1,419,419.0
потурбуватися,над кимось,1,200,200.0
розсміятися,над кимось,1,197,197.0
турбуватися,над кимось,1,212,212.0
владний,над кимсь,3,213,71.0
головувати,над кимсь,1,200,200.0
жартувати,над кимсь,1,208,208.0
поміркувати,над книгою,1,200,200.0
поцікавитися,над книгою,1,204,204.0
помислити,над книжкою,1,200,200.0
поміркувати,над книжкою,1,200,200.0
зажуритися,над країною,1,201,201.0
збентежитися,над людьми,1,203,203.0
подумати,над майбутнім,1,202,202.0
помислити,над майбутнім,1,200,200.0
сонце,над морем,1,211,211.0
поміркувати,над навчанням,1,200,200.0
влада,над народом,1,204,204.0
пролунати,над небесами,1,201,201.0
сонце,над ним,1,211,211.0
розсміятися,над обставинами,1,197,197.0
чоло,над очами,1,210,210.0
сміятися,над пацанами,1,215,215.0
подумати,над питанням,2,202,101.0
поміркувати,над питанням,2,200,100.0
помислити,над питанням,1,200,200.0
перемога,над покемонами,1,216,216.0
затужити,над покійним,1,208,208.0
помислити,над почутим,1,200,200.0
поміркувати,над проблемами,1,200,200.0
подумати,над проблемою,1,202,202.0
поміркувати,над проблемою,1,200,200.0
головувати,над рабами,1,200,200.0
усвідомити,над рішенням,1,200,200.0
помислити,над роботою,1,200,200.0
поміркувати,над роботою,1,200,200.0
пожартувати,над СВ,1,200,200.0
владний,над світом,1,213,213.0
помислити,над своїм майбутнім,1,200,200.0
поміркувати,над своїми вчинками,1,200,200.0
помислити,над своїми вчинками,1,200,200.0
міркувати,над своїми помилками,1,215,215.0
пожартувати,над Святиком,1,200,200.0
помислити,над ситуацією,1,200,200.0
поміркувати,над ситуацією,1,200,200.0
поміркувати,над сказаним,1,200,200.0
пожалкувати,над скоєним,1,200,200.0
помислити,над скоєним,1,200,200.0
владний,над собою,7,213,30.428571428571427
перемога,над собою,2,216,108.0
влада,над собою,1,204,204.0
головувати,над собою,1,200,200.0
переможець,над собою,1,200,200.0
поміркувати,над собою,1,200,200.0
працюватися,над собою,1,211,211.0
владний,над собою (кимось),1,213,213.0
мусити,над собою працювати,1,213,213.0
подумати,над справою,1,202,202.0
перемогти,над суперниками,1,419,419.0
пожартувати,над сусідкою,1,200,200.0
поміркувати,над сьогоднішнім днем,1,200,200.0
подумати,над твором,1,202,202.0
думати,над тезою,1,199,199.0
подумати,над текстом,1,202,202.0
витримати,над усе,1,203,203.0
перемогти,над усім,1,419,419.0
переможець,над усім,1,200,200.0
головувати,над усіма,1,200,200.0
перемога,над фашизмом,1,216,216.0
помислити,над фільмом,1,200,200.0
поміркувати,над цим,1,200,200.0
поміркувати,над чим,2,200,100.0
журитися,над чим,1,216,216.0
розсміятися,над чим,1,197,197.0
поміркувати,над чимось,8,200,25.0
подумати,над чимось,4,202,50.5
помислити,над чимось,4,200,50.0
зажуритися,над чимось,2,201,100.5
міркувати,над чимось,2,215,107.5
пожалкувати,над чимось,2,200,100.0
пожартувати,над чимось,2,200,100.0
вартувати,над чимось,1,214,214.0
владний,над чимось,1,213,213.0
забутися,над чимось,1,199,199.0
збентежитися,над чимось,1,203,203.0
мислити,над чимось,1,213,213.0
працюватися,над чимось,1,211,211.0
розсміятися,над чимось,1,197,197.0
помислити,над чимось думати,1,200,200.0
пожалкувати,над чимось зробленим,1,200,200.0
поміркувати,над чимось суттєвим,1,200,200.0
помислити,над шляхом,1,200,200.0
варто,нада,1,203,203.0
охоче,нада,1,202,202.0
допомагати,надавати допомогу,1,198,198.0
керувати,надавати накази,1,208,208.0
вибирати,надавати перевагу,1,200,200.0
відповідний,надання,1,201,201.0
хвилюватися,надаремно,1,203,203.0
братися,надати,1,213,213.0
дозволити,надати,1,202,202.0
ставати,надати,1,212,212.0
помогти,надати допомогу,1,202,202.0
полюбити,надати перевагу,1,204,204.0
здобуток,надбання,4,203,50.75
око,надбите,1,217,217.0
сіріти,надвечір,1,211,211.0
подіятися,надвоє,1,201,201.0
вечоріти,надворі,9,200,22.22222222222222
розвиднятися,надворі,8,212,26.5
темніти,надворі,7,214,30.571428571428573
темно,надворі,5,206,41.2
чорно,надворі,5,202,40.4
потемніти,надворі,3,200,66.66666666666667
світліти,надворі,3,206,68.66666666666667
діятися,надворі,2,211,105.5
світати,надворі,2,212,106.0
хмаритися,надворі,2,212,106.0
ввечері,надворі,1,206,206.0
світанок,надворі,1,203,203.0
світитися,надворі,1,203,203.0
сіріти,надворі,1,211,211.0
пам’ятка,надгробна дошка,1,212,212.0
пам’ять,надгробок,1,200,200.0
близькість,надзвичайна,1,203,203.0
вартість,надзвичайна,1,205,205.0
неприємність,надзвичайна,1,213,213.0
темрява,надзвичайна,1,212,212.0
туга,надзвичайна,1,211,211.0
цікавість,надзвичайна,1,209,209.0
диво,надзвичайне,1,200,200.0
неймовірний,надзвичайний,3,212,70.66666666666667
вражаючий,надзвичайний,2,202,101.0
вечір,надзвичайний,1,211,211.0
дивуватися,надзвичайний,1,210,210.0
новітній,надзвичайний,1,210,210.0
погляд,надзвичайний,1,211,211.0
неймовірний,надзвичайність,1,212,212.0
вражати,надзвичайно,1,220,220.0
звично,надзвичайно,1,203,203.0
здивований,надзвичайно,1,214,214.0
неймовірний,надзвичайно,1,212,212.0
сором’язливий,надзвичайно,1,214,214.0
схвильований,надзвичайно,1,214,214.0
могти,надзусилля,1,213,213.0
захмаритися,надитися,1,204,204.0
робота,надихає,1,200,200.0
втрачати,надією,1,202,202.0
жити,надією,1,212,212.0
справджувати,надії,28,202,7.214285714285714
справдити,надії,21,199,9.476190476190476
втрата,надії,2,203,101.5
вітер,надії,1,205,205.0
зневіритися,надії,1,414,414.0
майбутнє,надії,1,221,221.0
мати1,надійна,1,229,229.0
поміч,надійна,1,209,209.0
рука,надійна,1,210,210.0
сестра,надійна,1,210,210.0
друг,надійна людина,1,201,201.0
обов’язковий,надійний,2,209,104.5
вірний,надійний,1,214,214.0
друг,надійний,1,201,201.0
зручний,надійний,1,213,213.0
побратим,надійний,1,213,213.0
свій,надійний,1,222,222.0
справджувати,надійний,1,202,202.0
старий,надійний,1,210,210.0
друг,надійність,4,201,50.25
батько,надійність,2,203,101.5
відчуття,надійність,1,209,209.0
вірно,надійність,1,205,205.0
дім,надійність,1,201,201.0
знання,надійність,1,217,217.0
зручність,надійність,1,205,205.0
обіцянка,надійність,1,214,214.0
побратим,надійність,1,213,213.0
пообіцяти,надійність,1,201,201.0
родина,надійність,1,211,211.0
свій,надійність,1,222,222.0
сестра,надійність,1,210,210.0
товаришувати,надійність,1,213,213.0
чоловік,надійність,1,213,213.0
вдома,надійно,1,212,212.0
вірно,надійно,1,205,205.0
зручно,надійно,1,201,201.0
талан,наділення,1,211,211.0
втрачати,надію,10,202,20.2
справджувати,надію,4,202,50.5
справдити,надію,4,199,49.75
втратити,надію,2,205,102.5
бачити,надію,1,203,203.0
дармувати,надію,1,219,219.0
мати2,надію,1,216,216.0
питати,надію,1,210,210.0
приємний,надіюсь,1,212,212.0
справді,надіюсь,1,203,203.0
свобода,"надіюсь, що не заберуть",1,209,209.0
віра,надія,18,206,11.444444444444445
обіцянка,надія,7,214,30.571428571428573
справджувати,надія,7,202,28.857142857142858
справдити,надія,7,199,28.428571428571427
зневіритися,надія,6,414,69.0
вірити,надія,4,201,50.25
майбутнє,надія,4,221,55.25
втрачати,надія,3,202,67.33333333333333
мрія,надія,3,216,72.0
світанок,надія,3,203,67.66666666666667
син,надія,3,209,69.66666666666667
дружина,надія,2,216,108.0
зневіра,надія,2,202,101.0
зневірятися,надія,2,215,107.5
ставатися,надія,2,202,101.0
вартість,надія,1,205,205.0
вболівати,надія,1,204,204.0
вибори,надія,1,212,212.0
віритися,надія,1,208,208.0
дозволяти,надія,1,201,201.0
доля,надія,1,199,199.0
дружити,надія,1,200,200.0
забувати,надія,1,220,220.0
завтра,надія,1,202,202.0
звільнення,надія,1,203,203.0
зірка,надія,1,217,217.0
любов,надія,1,206,206.0
майбутній,надія,1,211,211.0
мати1,надія,1,229,229.0
молодість,надія,1,218,218.0
молодо,надія,1,207,207.0
молодь,надія,1,204,204.0
мріяти,надія,1,213,213.0
наближати,надія,1,211,211.0
народ,надія,1,217,217.0
неймовірний,надія,1,212,212.0
обіцяти,надія,1,212,212.0
поклик,надія,1,198,198.0
помаранчевий,надія,1,228,228.0
поміч,надія,1,209,209.0
пообіцяти,надія,1,201,201.0
потерпіти,надія,1,201,201.0
прямувати,надія,1,217,217.0
родина,надія,1,211,211.0
світло,надія,1,200,200.0
віра,Надія,2,206,103.0
віра,надія в майбутнє,1,206,206.0
віра,"надія, любов",5,206,41.2
вірити,надіятись,5,201,40.2
віритися,надіятись,1,208,208.0
жити,надіятись,1,212,212.0
щастити,надіятись,1,211,211.0
віритися,надіятися,3,208,69.33333333333333
вірити,надіятися,2,201,100.5
подіятися,надіятися,2,201,100.5
бажати,надіятися,1,208,208.0
віра,надіятися,1,206,206.0
діятися,надіятися,1,211,211.0
можливий,надіятися,1,211,211.0
мріяти,надіятися,1,213,213.0
обіцяти,надіятися,1,212,212.0
пообіцяти,надіятися,1,201,201.0
потребувати,надіятися,1,216,216.0
вага,надлишкова,1,203,203.0
брак,надлишок,2,207,103.5
забракнути,надлишок,1,202,202.0
цікавість,надмірна,3,209,69.66666666666667
вага,надмірна,2,203,101.5
вимога,надмірна,1,210,210.0
вимогливість,надмірна,1,202,202.0
радість,надмірна,1,210,210.0
хвилювання,надмірне,2,226,113.0
щастя,надмірне,1,212,212.0
вимогливість,надмірність,1,202,202.0
жахливий,надмірно,1,205,205.0
турбуватися,надмірно,1,212,212.0
схвилюватися,надміру,1,202,202.0
новітній,надмодерний,1,210,210.0
запам’ятати,надовго,7,200,28.571428571428573
зажуритися,надовго,4,201,50.25
забутися,надовго,2,199,99.5
замовчати,надовго,2,200,100.0
дощ,надовго,1,202,202.0
забуватися,надовго,1,217,217.0
заговорити,надовго,1,204,204.0
збентежений,надовго,1,211,211.0
настрашитися,надовго,1,204,204.0
одруження,надовго,1,218,218.0
оселитися,надовго,1,205,205.0
пам’ятка,надовго,1,212,212.0
полюбити,надовго,1,204,204.0
розгніватися,надовго,1,197,197.0
хмаритися,надовго,1,212,212.0
господарство,надоїдає,1,214,214.0
турбувати,надоїдати,2,213,106.5
збайдужіти,надоїдати,1,203,203.0
переставати,надоїдати,1,210,210.0
перестати,надоїдати,1,198,198.0
терпець,надоїдливе ставлення,1,209,209.0
турботливий,надоїдливий,1,215,215.0
звичний,надоїло,1,212,212.0
звично,надоїло,1,203,203.0
ладний,надоїло,1,213,213.0
переставати,надоїло,1,210,210.0
потерпіти,надоїло,1,201,201.0
радити,надоїло,1,216,216.0
робитися,надоїло писати,1,215,215.0
питати,надокучати,1,210,210.0
збайдужіти,надокучлива людина,1,203,203.0
біль,надокучливий,1,203,203.0
любов,надпрекрасність,1,206,206.0
витримувати,надріз,1,210,210.0
говір,надсянський,1,199,199.0
владно,надто,1,204,204.0
дивно,надто,1,202,202.0
наблизити,надто,1,199,199.0
страшно,надто,1,200,200.0
важливість,надута,1,203,203.0
сердитий,надутий,1,211,211.0
захмаритися,надутися,2,204,102.0
сердито,надутися,1,204,204.0
хмаритися,надутися,1,212,212.0
ім’я,Надя,1,221,221.0
товаришувати,Надя,1,213,213.0
уява,Надя,1,212,212.0
